Data,Ano,MesNumero,MesNome,AnoMes,OrdemAnoMes,Empresa,TickerAtual,IndiceMercado,PrecoAcao,PrecoMercado,RetornoAcao,RetornoMercado,SelicMensal,ExcessoAcao,ExcessoMercado,RetornoAcumuladoAcao,RetornoAcumuladoMercado
2021-01-31,2021,1,janeiro,2021-01,202101,Embraer S.A.,EMBJ3,^BVSP,8.79,116007.0,-0.006779661016949157,-0.027651584999916157,0.0015,-0.008279661016949156,-0.029151584999916158,-0.006779661016949157,-0.027651584999916157
2021-02-28,2021,2,fevereiro,2021-02,202102,Embraer S.A.,EMBJ3,^BVSP,12.23,110035.0,0.3913538111490331,-0.05147965208996008,0.0013,0.3900538111490331,-0.052779652089960084,0.3819209039548024,-0.07770774311434459
2021-03-31,2021,3,março,2021-03,202103,Embraer S.A.,EMBJ3,^BVSP,14.01,116634.0,0.14554374488961574,0.05997182714590821,0.002,0.14354374488961574,0.057971827145908206,0.5830508474576273,-0.02239619130638848
2021-04-30,2021,4,abril,2021-04,202104,Embraer S.A.,EMBJ3,^BVSP,15.4,118894.0,0.09921484653818702,0.01937685409057388,0.0021,0.09711484653818701,0.01727685409057388,0.7401129943502827,-0.00345330494694307
2021-05-31,2021,5,maio,2021-05,202105,Embraer S.A.,EMBJ3,^BVSP,17.28,126216.0,0.12207792207792223,0.061584268339865744,0.0027,0.11937792207792224,0.05888426833986574,0.9525423728813565,0.05791829413441074
2021-06-30,2021,6,junho,2021-06,202106,Embraer S.A.,EMBJ3,^BVSP,18.87,126802.0,0.09201388888888884,0.0046428345059263965,0.0031,0.08891388888888883,0.0015428345059263966,1.1322033898305088,0.06283003369486884
2021-07-31,2021,7,julho,2021-07,202107,Embraer S.A.,EMBJ3,^BVSP,18.59,121801.0,-0.014838367779544281,-0.03943944101828045,0.0036,-0.01843836777954428,-0.04303944101828045,1.1005649717514125,0.020912611268502967
2021-08-31,2021,8,agosto,2021-08,202108,Embraer S.A.,EMBJ3,^BVSP,23.42,118781.0,0.2598171059709522,-0.024794541916733026,0.0043,0.2555171059709522,-0.029094541916733024,1.6463276836158194,-0.00440044926491534
2021-09-30,2021,9,setembro,2021-09,202109,Embraer S.A.,EMBJ3,^BVSP,23.13,110979.0,-0.01238257899231443,-0.06568390567515003,0.0044,-0.01678257899231443,-0.07008390567515003,1.6135593220338982,-0.06979531624562041
2021-10-31,2021,10,outubro,2021-10,202110,Embraer S.A.,EMBJ3,^BVSP,21.93,103501.0,-0.05188067444876776,-0.06738211733751431,0.0049,-0.05678067444876776,-0.07228211733751432,1.4779661016949155,-0.13247447739426343
2021-11-30,2021,11,novembro,2021-11,202111,Embraer S.A.,EMBJ3,^BVSP,19.14,101915.0,-0.12722298221614226,-0.015323523444217946,0.0059,-0.13312298221614224,-0.021223523444217945,1.1627118644067798,-0.14576802507836983
2021-12-31,2021,12,dezembro,2021-12,202112,Embraer S.A.,EMBJ3,^BVSP,24.82,104822.0,0.2967607105538139,0.028523769808173505,0.0077,0.28906071055381394,0.020823769808173506,1.8045197740112995,-0.1214021088629238
2022-01-31,2022,1,janeiro,2022-01,202201,Embraer S.A.,EMBJ3,^BVSP,20.31,112388.0,-0.18170829975825953,0.07217950430253195,0.0073,-0.18900829975825953,0.06487950430253195,1.2949152542372881,-0.057985348599399744
2022-02-28,2022,2,fevereiro,2022-02,202202,Embraer S.A.,EMBJ3,^BVSP,17.6,113142.0,-0.1334318069916296,0.0067089013061891745,0.0076,-0.1410318069916296,-0.0008910986938108255,0.9887005649717517,-0.05166546527416893
2022-03-31,2022,3,março,2022-03,202203,Embraer S.A.,EMBJ3,^BVSP,14.96,119999.0,-0.15000000000000002,0.06060525711053377,0.009300000000000001,-0.15930000000000002,0.05130525711053377,0.6903954802259888,0.0058085930296885024
