"Data","preco"
"2017-12-31","76402"
"2018-01-31","84913.0"
"2018-02-28","85481.0"
"2018-03-31","85366.0"
"2018-04-30","86115.0"
"2018-05-31","76754.0"
"2018-06-30","72763.0"
"2018-07-31","79220.0"
"2018-08-31","76678.0"
"2018-09-30","79342.0"
"2018-10-31","87424.0"
"2018-11-30","89504.0"
"2018-12-31","87887.0"
"2019-01-31","97394.0"
"2019-02-28","95584.0"
"2019-03-31","95415.0"
"2019-04-30","96353.0"
"2019-05-31","97030.0"
"2019-06-30","100967.0"
"2019-07-31","101812.0"
"2019-08-31","101135.0"
"2019-09-30","104745.0"
"2019-10-31","107220.0"
"2019-11-30","108233.0"
"2019-12-31","115964.0"
"2020-01-31","113761.0"
"2020-02-29","104172.0"
"2020-03-31","73020.0"
"2020-04-30","80506.0"
"2020-05-31","87403.0"
"2020-06-30","95056.0"
"2020-07-31","102912.0"
"2020-08-31","99369.0"
"2020-09-30","94603.0"
"2020-10-31","93952.0"
"2020-11-30","108888.0"
"2020-12-31","119306.0"
"2021-01-31","116007.0"
"2021-02-28","110035.0"
"2021-03-31","116634.0"
"2021-04-30","118894.0"
"2021-05-31","126216.0"
"2021-06-30","126802.0"
"2021-07-31","121801.0"
"2021-08-31","118781.0"
"2021-09-30","110979.0"
"2021-10-31","103501.0"
"2021-11-30","101915.0"
"2021-12-31","104822.0"
"2022-01-31","112388.0"
"2022-02-28","113142.0"
"2022-03-31","119999.0"
"2022-04-30","107876.0"
"2022-05-31","111351.0"
"2022-06-30","98542.0"
"2022-07-31","103165.0"
"2022-08-31","109523.0"
"2022-09-30","110037.0"
"2022-10-31","116037.0"
"2022-11-30","112486.0"
"2022-12-31","110031.0"
"2023-01-31","113532.0"
"2023-02-28","104932.0"
"2023-03-31","101882.0"
"2023-04-30","104432.0"
"2023-05-31","108335.0"
"2023-06-30","118087.0"
"2023-07-31","121943.0"
"2023-08-31","115742.0"
"2023-09-30","116565.0"
"2023-10-31","113144.0"
"2023-11-30","127331.0"
"2023-12-31","134185.0"
"2024-01-31","127752.0"
"2024-02-29","129020.0"
"2024-03-31","128106.0"
"2024-04-30","125924.0"
"2024-05-31","122098.0"
"2024-06-30","123907.0"
"2024-07-31","127652.0"
"2024-08-31","136004.0"
"2024-09-30","131816.0"
"2024-10-31","129713.0"
"2024-11-30","125668.0"
"2024-12-31","120283.0"
"2025-01-31","126135.0"
"2025-02-28","122799.0"
"2025-03-31","130260.0"
"2025-04-30","135067.0"
"2025-05-31","137027.0"
"2025-06-30","138855.0"
"2025-07-31","133071.0"
"2025-08-31","141422.0"
"2025-09-30","146237.0"
"2025-10-31","149540.0"
"2025-11-30","159072.0"
"2025-12-31","161125.0"
